id,name,age,salary,department,email,experience_years,rating
1,Person_1,56,60475.98,Engineering,person1@company.com,16,4.2
2,Person_2,69,47425.57,Engineering,person2@company.com,13,2.4
3,Person_3,46,36392.2,HR,person3@company.com,2,2.9
4,Person_4,32,67829.39,Sales,person4@company.com,0,3.6
5,Person_5,60,61782.98,Finance,person5@company.com,19,1.2
6,Person_6,25,89840.15,Sales,person6@company.com,0,4.8
7,Person_7,78,53952.29,HR,person7@company.com,2,4.5
8,Person_8,38,74626.57,HR,person8@company.com,17,2.0
9,Person_9,56,56912.24,Sales,person9@company.com,9,1.1
10,Person_10,75,51288.85,HR,person10@company.com,2,4.7
11,Person_11,36,27350.64,Sales,person11@company.com,7,3.0
12,Person_12,40,60822.54,Marketing,person12@company.com,13,3.2
13,Person_13,28,37348.7,Sales,person13@company.com,17,3.7
14,Person_14,28,42300.12,Sales,person14@company.com,14,3.5
15,Person_15,41,49346.95,HR,person15@company.com,1,4.8
16,Person_16,70,45870.49,HR,person16@company.com,9,4.8
17,Person_17,53,26554.0,Engineering,person17@company.com,1,4.5
18,Person_18,57,38065.54,Engineering,person18@company.com,16,3.5
19,Person_19,41,63958.77,Marketing,person19@company.com,7,4.2
20,Person_20,20,60166.51,Engineering,person20@company.com,0,3.7
21,Person_21,39,60476.6,Sales,person21@company.com,8,3.3
22,Person_22,70,52604.03,HR,person22@company.com,10,1.5
23,Person_23,19,59934.27,Engineering,person23@company.com,15,4.2
24,Person_24,41,53616.83,Engineering,person24@company.com,6,4.3
25,Person_25,61,47476.92,Marketing,person25@company.com,9,3.5
26,Person_26,47,67471.53,Marketing,person26@company.com,2,4.3
27,Person_27,55,46313.78,Sales,person27@company.com,17,3.6
28,Person_28,19,38454.98,HR,person28@company.com,12,1.8
29,Person_29,77,68182.59,Marketing,person29@company.com,6,2.1
30,Person_30,38,68502.45,Engineering,person30@company.com,3,1.9
31,Person_31,50,26387.67,HR,person31@company.com,12,2.5
32,Person_32,29,59569.29,HR,person32@company.com,19,1.2
33,Person_33,75,19333.65,Engineering,person33@company.com,0,3.5
34,Person_34,39,66042.21,Marketing,person34@company.com,7,2.3
35,Person_35,78,35993.56,Engineering,person35@company.com,13,3.6
36,Person_36,61,61763.12,HR,person36@company.com,15,2.5
37,Person_37,42,40776.86,Finance,person37@company.com,13,3.7
38,Person_38,66,54993.39,Finance,person38@company.com,11,2.4
39,Person_39,44,29289.24,Sales,person39@company.com,18,2.0
40,Person_40,76,45787.91,Engineering,person40@company.com,14,3.0
41,Person_41,59,49102.74,Engineering,person41@company.com,1,3.8
42,Person_42,45,64417.61,Sales,person42@company.com,1,2.4
43,Person_43,77,76914.21,Sales,person43@company.com,18,4.7
44,Person_44,33,58710.34,Sales,person44@company.com,16,1.2
45,Person_45,32,54464.76,HR,person45@company.com,19,2.7
46,Person_46,79,34578.26,Engineering,person46@company.com,9,4.9
47,Person_47,79,28721.05,HR,person47@company.com,5,3.2
48,Person_48,64,52855.05,Sales,person48@company.com,14,2.7
49,Person_49,79,52036.31,Engineering,person49@company.com,10,3.3
50,Person_50,68,59121.34,HR,person50@company.com,4,3.3
51,Person_51,61,60574.72,HR,person51@company.com,0,3.9
52,Person_52,72,55413.85,Sales,person52@company.com,7,1.5
53,Person_53,69,27995.48,Engineering,person53@company.com,11,2.0
54,Person_54,74,63389.44,Sales,person54@company.com,11,3.3
55,Person_55,20,48421.14,Engineering,person55@company.com,4,4.5
56,Person_56,54,35669.8,Finance,person56@company.com,6,3.2
57,Person_57,68,43778.53,Marketing,person57@company.com,3,2.0
58,Person_58,24,29018.89,Marketing,person58@company.com,5,3.7
59,Person_59,38,44838.79,Marketing,person59@company.com,12,4.0
60,Person_60,26,61261.79,Sales,person60@company.com,19,2.0
61,Person_61,56,45085.62,Finance,person61@company.com,14,2.5
62,Person_62,35,37076.03,Engineering,person62@company.com,2,3.1
63,Person_63,21,46127.23,HR,person63@company.com,7,3.0
64,Person_64,42,56914.33,Engineering,person64@company.com,19,2.6
65,Person_65,77,29759.15,HR,person65@company.com,15,2.2
66,Person_66,31,34713.91,Engineering,person66@company.com,12,1.4
67,Person_67,67,51905.18,Finance,person67@company.com,17,1.2
68,Person_68,75,31258.34,HR,person68@company.com,9,4.8
69,Person_69,26,79176.73,Sales,person69@company.com,18,4.4
70,Person_70,43,47699.95,Engineering,person70@company.com,16,2.4
71,Person_71,70,36395.19,Engineering,person71@company.com,18,4.8
72,Person_72,19,37739.69,HR,person72@company.com,4,3.7
73,Person_73,37,42753.16,Sales,person73@company.com,8,2.9
74,Person_74,45,41452.57,Sales,person74@company.com,11,3.0
75,Person_75,64,18626.0,Finance,person75@company.com,0,1.3
76,Person_76,77,68956.11,Sales,person76@company.com,0,1.4
77,Person_77,24,49767.75,Sales,person77@company.com,14,3.4
78,Person_78,61,49589.35,Sales,person78@company.com,1,3.2
79,Person_79,78,62268.1,Marketing,person79@company.com,15,1.9
80,Person_80,25,34180.93,Finance,person80@company.com,7,4.8
81,Person_81,64,38625.09,Engineering,person81@company.com,12,4.1
82,Person_82,52,56861.23,HR,person82@company.com,0,1.5
83,Person_83,31,49034.33,Engineering,person83@company.com,15,4.7
84,Person_84,34,55173.54,Finance,person84@company.com,6,4.9
85,Person_85,53,48798.69,HR,person85@company.com,4,5.0
