id,name,age,salary,department,email,experience_years,rating
1.0,Person_1,,60475.98,Engineering,person1@company.com,16.0,4.2
2.0,Person_2,69.0,47425.57,Engineering,person2@company.com,13.0,2.4
3.0,Person_3,46.0,36392.2,HR,person3@company.com,2.0,2.9
4.0,Person_4,32.0,67829.39,,person4@company.com,0.0,3.6
,Person_5,60.0,61782.98,Finance,person5@company.com,19.0,1.2
6.0,Person_6,25.0,93471.41794785701,Sales,person6@company.com,0.0,
7.0,Person_7,78.0,53952.29,HR,person7@company.com,2.0,4.5
8.0,Person_8,38.0,74626.57,HR,nerson8@company.com,17.0,1.8561796749288995
9.0,Pervon_9,56.0,51742.08295496321,Sales,person9@company.com,9.0,1.1
10.0,Pe6rson_10,75.0,51288.85,HR,personh10@company.com,2.0,4.7
11.0,Person_11,36.0,27350.64,Sales,person11@0company.com,7.0,3.0
12.0,Person_12,40.0,,Markoting,person12@company.com,13.0,3.2
13.0,Person_13,28.0,37348.7,Sales,person13@company.com,17.0,3.7
14.0,,28.0,42300.12,Sales,person14@company.om,14.0,3.5
15.0,Person_15,41.0,49346.95,HR,person15@company.com,1.0,4.8
16.0,Persoh_16,70.0,45870.49,HR,perskn16@company.com,9.0,4.8
17.0,Person_17,53.0,26554.0,Engineering,person17@company.copm,1.0,4.5
18.0,,57.0,38065.54,Engineering,person18@company.com,16.0,3.5
19.0,Person_19,41.0,63958.77,Marketing,person19@company.com,7.0,4.2
20.0,Person_20,20.0,,Engineering,person20@company.com,0.0,3.7
21.0,Person_21,39.0,60476.6,Sales,person21@company.com,8.0,3.3
22.0,Person_22,70.0,52604.03,HR,persjn22@company.com,10.0,1.5
23.0,Person_23,19.0,59934.27,Engineering,person23@company.com,15.0$,4.2
24.0,Person_24,41.0,53616.83,Edngineering,person24@company.com,6.0,4.3
25.0,Person_25,61.0,47476.92,Marketing,person25@company.com,9.0,3.5
26.0,Person_26,47.0,67471.53,Marketing,person26@company.com,2.0,4.3
27.0,Person_27,55.0,46313.78,Sales,person27@company.com,17.0,3.6
28.0,Person_28,19.0,38454.98,HR,person28@company.com,12.0,1.8
29.0,Persgon_29,77.33857033370369,68182.59,Marketing,person9@copmany.cm8o,6.0,
,Person_30,38.0,68502.45,Engineering,eprson30@company.com,3.0,1.9
31.0,Persn_31,50.0,26387.67,HR,perso31@company.com,12.0,2.5
32.0,Pwrson_32,29.0,,HR,person2@company.com,19.0,1.2
33.0,Person_33,75.0,19333.65,Engineering,person33@company.com,0.0,3.5
34.0,Person_34,39.0,66042.21,Marketing,person34@com2pany.com,7.0,2.3
35.0,Person_35,78.0,35993.56,Engineering,person35@company.com,13.0,3.6
36.0,Person_36,61.0,61763.12,HR,person36@company.com,15.0,2.5
37.0,Person_37,42.0,40776.86,Finance,person37@company.com,13.0,3.7
38.0,Person_38,66.0,54993.39,Finance,person38@company.com,11.0,2.4
39.0,Person_9,44.0,29289.24,Sales,person39@company.com,18.0,2.0
40.0,Person_40,76.0,45787.91,Engineering,operson40@company.com,14.0,3.0
41.0,Person_41,59.0,49102.74,Engineering,person41@company.com,1.0,3.8
42.0,Pnerson_42,45.0,64417.61,Sales,person42@company.com,1.0,2.4
43.0,Person_43,77.0,76914.21,Sales,person43@company.com,18.0,4.7
44.0,Person_44,33.0,58710.34,,person44@compan.com,16.0,1.2
45.0,Person_45,32.0,54464.76,HR,person45@company.com,19.0,2.7
46.0,Person_46,79.0,34578.26,Engineering,,9.0,4.9
47.0,Person_47,79.0,28721.05,HR,person47@company.com,5.0,3.2
48.0,Person_48,64.0,52855.05,Sales,person48@company.com,14.0$,2.7
49.0,,79.0,52036.31,Engineering,person49@company.com,10.0,3.3
50.0,Person_50,68.0,59121.34,HR,person50@company.com,4.0,3.3
51.0,Person_51,61.0%,60574.72,HR,person51copmany.com,0.0,3.9
52.0,ePrson_52,72.0,55413.85,Sales,person52@ocmpahny.com,7.0,1.5
53.0,Person_53,69.0,27995.48,Engineering,person53@copany.com,11.0,2.0
54.0,Person_54,74.0,63389.44,Sales,person54@company.com,11.0,3.3
55.0,Person_55,20.0,48421.14,Engineering,person55@company.com,4.0,4.5
56.0,Person_56,54.0,35669.8,Finance,aerson56@company.com,6.0,3.2
57.0,Person_57,68.0,43778.53,Marketing,person57@company.com,3.0,2.086742445059153
58.0,Person_58,24.0,29018.89,Marketing,person58@company.com,5.0,3.7
59.0,Person_59,38.0,44838.79,Marketing,person59@company.com,12.0,4.0
60.0,Person_60,26.0,61261.79,Sales,person60@company.om,19.0,2.0
61.0,Perosn_61,56.0,45085.62,Finance,person61@companay.com,14.0,2.5
62.0,Person_62,35.0,37076.03,Engineering,person62@company.com,2.0,3.1
63.0,Person_63,21.0,46127.23,HR,person63@company.com,7.0,3.0
64.0,Person_64Person_64,42.0,56914.33,Elngineering,person64@company.com,19.0,2.6
65.0,Prson_65,77.0,29759.15,HR,person65@company.com6,15.0,2.2
66.0,Person_66,31.0,34713.91,Engineering,person66@company.com,12.0,1.4
67.0,Person_67,67.0,51905.18,Finance,person67@comapny.com,17.0,1.2
